Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-09-01","2,237","2,774","1.17","2","678","139","15","6","687"
"2019-09-02","2,843","9,983","4.2","25","625","175","22","52","1,353"
"2019-09-03","2,299","6,033","2.54","20","841","122","9","20","753"
"2019-09-04","2,863","11,209","4.71","44","703","177","28","57","1,445"
"2019-09-05","2,054","2,202","0.93","0","729","96","2","11","470"
"2019-09-06","2,037","3,771","1.59","6","947","105","0","0","453"
"2019-09-07","4,159","17,503","6.2","256","492","234","61","165","2,969"
"2019-09-08","2,034","2,564","1.08","3","641","145","0","0","510"
"2019-09-09","2,060","2,696","1.13","5","813","105","12","1","502"
"2019-09-10","2,610","7,249","3.05","8","670","219","17","15","1,167"
"2019-09-11","2,461","4,942","2.08","6","745","176","20","25","1,007"
"2019-09-12","2,441","7,276","3.03","19","645","214","7","14","1,015"
"2019-09-13","2,394","6,050","2.54","14","841","137","25","28","917"
"2019-09-14","2,621","8,967","3.74","22","1,198","196","13","33","1,215"
"2019-09-15","2,666","6,086","2.56","12","1,197","156","33","54","1,239"
"2019-09-16","1,865","818","0.34","0","1,010","62","0","0","205"
"2019-09-17","2,142","3,158","1.33","0","775","185","0","0","638"
"2019-09-18","2,390","6,702","2.82","12","843","167","15","20","903"
"2019-09-19","2,328","5,444","2.29","13","846","134","14","22","855"
"2019-09-20","1,625","0","0","0","1,440","0","0","0","0"
"2019-09-21","1,557","0","0","0","1,379","0","0","0","0"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2019-09-19 12:47AM","2019-09-19 7:51AM","358","66","27","424","70","186","102"
"2019-09-18 1:04AM","2019-09-18 7:39AM","335","60","18","395","59","188","88"
"2019-09-17 12:04AM","2019-09-17 8:04AM","416","64","38","480","66","214","136"
"2019-09-16 5:21AM","2019-09-16 11:29AM","303","65","24","368","56","197","50"
"2019-09-14 11:16PM","2019-09-15 10:54AM","0","0","0","0","0","0","0"
"2019-09-13 12:33AM","2019-09-13 7:22AM","382","27","27","409","105","218","59"
"2019-09-11 9:58PM","2019-09-12 7:18AM","493","67","37","560","115","247","131"
"2019-09-10 11:30PM","2019-09-11 7:24AM","429","45","29","474","113","204","112"
"2019-09-09 11:04PM","2019-09-10 7:43AM","451","68","34","519","84","281","86"
"2019-09-08 10:14PM","2019-09-09 6:43AM","438","71","24","509","98","251","89"
"2019-09-08 3:01PM","2019-09-08 4:09PM","64","4","0","68","N/A","N/A","N/A"
"2019-09-07 11:23PM","2019-09-08 9:09AM","501","85","46","586","89","297","115"
"2019-09-07 1:36AM","2019-09-07 9:44AM","443","45","29","488","145","186","112"
"2019-09-06 12:56AM","2019-09-06 7:24AM","333","55","23","388","47","183","103"
"2019-09-05 2:28PM","2019-09-05 3:43PM","70","5","0","75","N/A","N/A","N/A"
"2019-09-05 12:08AM","2019-09-05 8:56AM","467","60","28","527","148","222","97"
"2019-09-03 11:54PM","2019-09-04 7:49AM","395","80","22","475","115","161","119"
"2019-09-02 11:39PM","2019-09-03 7:07AM","401","47","37","448","115","144","142"
"2019-09-01 11:45PM","2019-09-02 9:11AM","510","56","35","566","118","267","125"
"2019-08-31 10:54PM","2019-09-01 8:56AM","544","58","33","602","112","323","109"

